[00:14:21] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:14:23] [ServerMain/INFO]: Loaded 7 recipes
[00:14:24] [ServerMain/INFO]: Loaded 1271 advancements
[00:14:24] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:14:24] [Server thread/INFO]: Loading properties
[00:14:24] [Server thread/INFO]: Default game type: SURVIVAL
[00:14:24] [Server thread/INFO]: Generating keypair
[00:14:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:14:24] [Server thread/INFO]: Using epoll channel type
[00:14:25] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:14:25] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:14:25] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:14:25] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:14:25] [Server thread/INFO]: Preparing level "world"
[00:15:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:01] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:02] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:03] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:04] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:05] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:06] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:07] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:08] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:09] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:10] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:11] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:14] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:15] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:16] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:17] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:15:18] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[00:15:18] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[00:15:20] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[00:15:20] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[00:15:20] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[00:15:20] [Worker-Main-6/INFO]: Preparing spawn area: 12%
[00:15:20] [Worker-Main-6/INFO]: Preparing spawn area: 87%
[00:15:26] [Server thread/INFO]: Time elapsed: 49104 ms
[00:15:26] [Server thread/INFO]: Done (61.164s)! For help, type "help"
[00:15:36] [Server thread/INFO]: Edward[/127.239.205.8:40237] logged in with entity id 224 at (28.5, 63.0, -71.5)
[00:15:36] [Server thread/INFO]: Edward joined the game
[00:15:48] [Server thread/INFO]: ChisuYT[/127.154.93.24:50889] logged in with entity id 886 at (38.5, 63.0, -65.5)
[00:15:48] [Server thread/INFO]: ChisuYT joined the game
